OID_,Value,DepoZone,EUcropClas,SlopeClass,DepoZones,CropShort,SlopeTxt,lucode,Ndeposition,NUE,PUE,load_n,eff_n,crit_len_n,proportion_subsurface_n,load_p,eff_p,crit_len_p
217,218,8,2,5,7.001-8 kg ha,Non-wood Natural,> mean + 3STD = 26.558-89.281 degrees,218,7.442081451,0.32,0.63,5.060615387,0.001330995,200,0.934131384,0,0.001330995,200
218,219,8,5,4,7.001-8 kg ha,Water & Wetlands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,219,7.448363781,0.64,0.88,2.681410961,0.303115934,200,1,0,0.303115934,200
219,220,8,1,5,7.001-8 kg ha,NaturalTrees,> mean + 3STD = 26.558-89.281 degrees,220,7.46814537,0.49,0.62,3.808754139,0.899999976,200,0.047943272,0,0.899999976,200
220,221,10,2,3,8.001-10 kg ha,Non-wood Natural,<= mean + 1 STD = 5.061-12.225 degrees,221,8.896714211,0.68,0.74,2.846948548,0.890968561,200,0.881789565,0,0.890968561,200
221,222,10,2,4,8.001-10 kg ha,Non-wood Natural,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,222,8.862786293,0.51,0.63,4.342765284,0.735044599,200,0.904222369,0,0.735044599,200
222,223,10,1,4,8.001-10 kg ha,NaturalTrees,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,223,8.962967873,0.6,0.73,3.585187149,0.899999976,200,0.101675957,0,0.899999976,200
223,224,10,2,2,8.001-10 kg ha,Non-wood Natural,<= mean = 2.531- 5.06 degrees,224,8.860884666,0.7,0.89,2.6582654,0.770144641,200,0.938797832,0,0.770144641,200
224,225,8,4,4,7.001-8 kg ha,Built-up and artificial,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,225,7.413303375,0.57,0.67,3.187720451,0.359575003,200,0.707602322,0,0.359575003,200
225,226,10,1,3,8.001-10 kg ha,NaturalTrees,<= mean + 1 STD = 5.061-12.225 degrees,226,8.993124008,0.64,0.84,3.237524643,0.899999976,200,0.201642305,0,0.899999976,200
226,227,10,2,5,8.001-10 kg ha,Non-wood Natural,> mean + 3STD = 26.558-89.281 degrees,227,8.856064796,0.33,0.61,5.933563413,0.000739638,200,0.93825078,0,0.000739638,200
227,228,10,1,5,8.001-10 kg ha,NaturalTrees,> mean + 3STD = 26.558-89.281 degrees,228,8.915473938,0.48,0.59,4.636046448,0.899999976,200,0.331903175,0,0.899999976,200
228,229,10,1,2,8.001-10 kg ha,NaturalTrees,<= mean = 2.531- 5.06 degrees,229,8.981057167,0.66,0.95,3.053559437,0.899999976,200,0.837187171,0,0.899999976,200
229,230,10,2,1,8.001-10 kg ha,Non-wood Natural,<= 1/2 STD = < 2.53 degrees,230,8.786328316,0.69,1,2.723761778,0.580888391,200,0.971356869,0,0.580888391,200
230,231,10,1,1,8.001-10 kg ha,NaturalTrees,<= 1/2 STD = < 2.53 degrees,231,8.987555504,0.65,1,3.145644426,0.899999976,200,0.928177416,0,0.899999976,200
